sensorId,sensor_name,created_at,updated_at
00,sensor_01,16 May,16 May
000,sensor_02,16 May,16 May
000000,sensor_03,16 May,16 May
00000000000000000001,sensor_04,16 May,16 May
00010119046720218110,sensor_05,16 May,16 May
00010119252725463186,sensor_06,16 May,16 May
00010119305726782994,sensor_07,16 May,16 May
00010119312727109516,sensor_08,16 May,16 May
00010119312727109987,sensor_09,16 May,16 May
00145665,sensor_10,16 May,16 May
1,sensor_11,16 May,16 May
10010119252725463186,sensor_12,16 May,16 May
10010119312727109516,sensor_13,16 May,16 May
10010119312727109987,sensor_14,16 May,16 May
1234567890123456789,sensor_15,16 May,16 May
20010119252725463186,sensor_16,16 May,16 May
20010119312727109516,sensor_17,16 May,16 May
20010119312727109987,sensor_18,16 May,16 May
30010119046720218110,sensor_19,16 May,16 May
30010119252725463186,sensor_20,16 May,16 May
30010119305726782994,sensor_21,16 May,16 May
30010119312727109516,sensor_22,16 May,16 May
30010119312727109987,sensor_23,16 May,16 May
40010119046720218110,sensor_24,16 May,16 May
40010119252725463186,sensor_25,16 May,16 May
40010119305726782994,sensor_26,16 May,16 May
40010119312727109516,sensor_27,16 May,16 May
40010119312727109987,sensor_28,16 May,16 May
429473748,sensor_29,16 May,16 May
50010119312727109516,sensor_30,16 May,16 May
50010119312727109987,sensor_31,16 May,16 May
6,sensor_32,16 May,16 May
89410117331724221886,sensor_33,16 May,16 May
89410118225724996654,sensor_34,16 May,16 May
89410118309726857492,sensor_35,16 May,16 May
89410119046720218110,sensor_36,16 May,16 May
89410119046720218128,sensor_37,16 May,16 May
89410119046720231592,sensor_38,16 May,16 May
89410119252725463178,sensor_39,16 May,16 May
89410119252725463186,sensor_40,16 May,16 May
89410119305726731819,sensor_41,16 May,16 May
89410119305726782994,sensor_42,16 May,16 May
89410119312727109482,sensor_43,16 May,16 May
89410119312727109490,sensor_44,16 May,16 May
89410119312727109508,sensor_45,16 May,16 May
89410119312727109516,sensor_46,16 May,16 May
89410119312727109987,sensor_47,16 May,16 May
89410119312727194328,sensor_48,16 May,16 May
89410206677400256204,sensor_49,16 May,16 May
89410206677400256222,sensor_50,16 May,16 May
89410206677401236321,sensor_51,16 May,16 May
89410312034847003131,sensor_52,16 May,16 May
89410315197711010867,sensor_53,16 May,16 May
89410315197811013076,sensor_54,16 May,16 May
89410316250111037748,sensor_55,16 May,16 May
89410317359713017161,sensor_56,16 May,16 May
89410317361111019526,sensor_57,16 May,16 May
89415400700099691600,sensor_58,16 May,16 May
8941540070009969160f,sensor_59,16 May,16 May
89492021176031196534,sensor_60,16 May,16 May
8991000902369796649f,sensor_61,16 May,16 May
8991000902749136817f,sensor_62,16 May,16 May
8991000902769796631f,sensor_63,16 May,16 May
8991000902769796649f,sensor_64,16 May,16 May
8991000902769803825f,sensor_65,16 May,16 May
8991000902769803833f,sensor_66,16 May,16 May
8991000902867902396f,sensor_67,16 May,16 May
8991000902867902404f,sensor_68,16 May,16 May
8991000902867902743f,sensor_69,16 May,16 May
8991000902867902776f,sensor_70,16 May,16 May
8991000902867902792f,sensor_71,16 May,16 May
8991000902867902818f,sensor_72,16 May,16 May
8991000902871182704f,sensor_73,16 May,16 May
8991000902871184312f,sensor_74,16 May,16 May
89910271001095537332,sensor_75,16 May,16 May
89910273105000145665,sensor_76,16 May,16 May
8991101906273309185,sensor_77,16 May,16 May
89911019062733091858,sensor_78,16 May,16 May
89911019062733091859,sensor_79,16 May,16 May
8991101906273309185a,sensor_80,16 May,16 May
8991101906273309185f,sensor_81,16 May,16 May
89911019062733091861,sensor_82,16 May,16 May
8991101906g73309185f,sensor_83,16 May,16 May
89911190185369831053,sensor_84,16 May,16 May